Type,Value,Type,Value,Type,Value,Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,RDTR:surface1,Element,TL_detector:surface2,Element,TL_mirror:surface2,Element,TL_mirror2:surface2
,,,,,,,
,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,-61.52016194842037,0.0,-47.726159723485665,0.0,-17.259995776049198,0.0,9.376931819798237
545.3057861328125,-61.137648328819544,545.3057861328125,-47.46880506421387,545.3057861328125,-17.235188506233477,545.3057861328125,10.857116302637616
1090.611572265625,-60.936045826281656,1090.611572265625,-47.2182462932486,1090.611572265625,-17.223762784914737,1090.611572265625,11.34660531297304
1635.9173583984375,-61.02346672501553,1635.9173583984375,-47.08551771123013,1635.9173583984375,-17.222137612587677,1635.9173583984375,11.215261117126657
2181.22314453125,-61.199118553585286,2181.22314453125,-47.09271901156975,2181.22314453125,-17.227420353556642,2181.22314453125,10.881972312457943
2726.5289306640625,-61.445841347552324,2726.5289306640625,-47.208599994509306,2726.5289306640625,-17.237131951813705,2726.5289306640625,9.565769333344065
3271.834716796875,-61.68516305524883,3271.834716796875,-47.375293175912034,3271.834716796875,-17.249549846774997,3271.834716796875,8.407520257520096
3817.1405029296875,-61.91934595044716,3817.1405029296875,-47.55768278055564,3817.1405029296875,-17.264262338059595,3817.1405029296875,7.391191739119371
4362.4462890625,-62.11768586544983,4362.4462890625,-47.73446649999127,4362.4462890625,-17.2784132906656,4362.4462890625,7.994545274094207
4907.7520751953125,-61.9951793587359,4907.7520751953125,-47.84231868300706,4907.7520751953125,-17.27929444809085,4907.7520751953125,8.110205435071432
5453.0576171875,-61.520389589741306,5453.0576171875,-47.7266804536208,5453.0576171875,-17.261773032248076,5453.0576171875,9.376724394008198
