Type,Value,Type,Value,Type,Value,Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,ADCS,Element,CAJA_ELECTRONICA,Element,COM1,Element,TL_electronics
,,,,,,,
,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,-2.709635970203935,0.0,-2.0369103170636373,0.0,-2.869043405087089,0.0,-2.6771727360964506
545.3057861328125,-2.7099689688485493,545.3057861328125,-2.0391968402583376,545.3057861328125,-2.8639047558394437,545.3057861328125,-2.677736982051963
1090.611572265625,-2.710363246824904,1090.611572265625,-2.041074240358052,1090.611572265625,-2.859033426892589,1090.611572265625,-2.678324915049546
1635.9173583984375,-2.710828206451963,1635.9173583984375,-2.0420946988039024,1635.9173583984375,-2.853839361075067,1635.9173583984375,-2.6788882803710132
2181.22314453125,-2.711341602874598,2181.22314453125,-2.042086235731185,2181.22314453125,-2.8487347580135634,2181.22314453125,-2.6793298257907368
2726.5289306640625,-2.7118606747053176,2726.5289306640625,-2.041146206639225,2726.5289306640625,-2.8496377415057683,2726.5289306640625,-2.6796094203735326
3271.834716796875,-2.712341388584168,3271.834716796875,-2.039829062928147,3271.834716796875,-2.855789409731481,3271.834716796875,-2.6798015799945563
3817.1405029296875,-2.7127505162937573,3817.1405029296875,-2.038848411565336,3817.1405029296875,-2.8654598634366053,3817.1405029296875,-2.679997233599425
4362.4462890625,-2.7130877855720796,4362.4462890625,-2.0387930444805833,4362.4462890625,-2.875166970950456,4362.4462890625,-2.680291109421716
4907.7520751953125,-2.7133813299282306,4907.7520751953125,-2.039899165962857,4907.7520751953125,-2.878858987923566,4907.7520751953125,-2.6807142644955015
5453.0576171875,-2.7136724900787708,5453.0576171875,-2.041890796007235,5453.0576171875,-2.8764973903341917,5453.0576171875,-2.6812247461744763
