Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,1000,Element,1001,Element,1002,Element,1003,Element,1004,Element,1005,Element,1006,Element,1007,Element,1008,Element,1009,Element,1010,Element,1011,Element,1012,Element,1013,Element,1014,Element,1015,Element,1016,Element,1017,Element,1018,Element,1019,Element,1020,Element,1021,Element,1022,Element,1023,Element,1024,Element,1025,Element,1026,Element,1027,Element,1028,Element,1029,Element,1030,Element,1031,Element,1032,Element,1033,Element,1034,Element,1035,Element,1036,Element,1037,Element,1038,Element,1039,Element,1040,Element,1041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,-0.8000833856076499,0.0,0.002061830435269445,0.0,-0.032880976719385516,0.0,0.5334283487030903,0.0,-0.8686970175947795,0.0,3.0494293196911966,0.0,-2.0787300110307703,0.0,-1.327274023604968,0.0,-1.341810153928691,0.0,-1.381751944912415,0.0,-1.343765228995319,0.0,-1.0837912968898025,0.0,-0.13369409540405147,0.0,0.30312165719656614,0.0,0.3013070274342411,0.0,-1.9213123509596906,0.0,-2.9959779053945996,0.0,-3.3426933254527182,0.0,-0.4566200305987109,0.0,-1.2922807226349529,0.0,-1.8757174809570907,0.0,-3.7845786269107,0.0,-4.316085401932524,0.0,-4.030272351788955,0.0,-2.3625201469684067,0.0,-2.629240621542502,0.0,-2.762699917742109,0.0,-3.7561330197957488,0.0,-3.540149352792894,0.0,-2.4543572661712885,0.0,-2.5557965779320466,0.0,-2.3383780788233426,0.0,-1.2393382439620948,0.0,-4.994745546100073,0.0,-6.499653269768875,0.0,-4.797523206915816,0.0,-5.975249374886792,0.0,-12.471795265377281,0.0,-5.794869998862145,0.0,-3.6351926930204725,0.0,-5.082522317855525,0.0,-3.371876271806132
545.3057861328125,-0.177904711563268,545.3057861328125,0.1666161711425312,545.3057861328125,0.6739953898308709,545.3057861328125,4.641832446088933,545.3057861328125,0.29510152083139274,545.3057861328125,7.690037507395184,545.3057861328125,-1.466941924811054,545.3057861328125,-1.1791046098309956,545.3057861328125,-0.6543039497807678,545.3057861328125,-1.3336357016545275,545.3057861328125,-1.2689700941424509,545.3057861328125,-1.025096841396968,545.3057861328125,-0.11438443264591075,545.3057861328125,0.3162522003731785,545.3057861328125,0.33205339681551166,545.3057861328125,-1.888938865539363,545.3057861328125,-2.9857292207693615,545.3057861328125,-3.363804807087111,545.3057861328125,-0.4211782596209969,545.3057861328125,-0.7362935262381373,545.3057861328125,-1.8798334677623527,545.3057861328125,-3.796196100958218,545.3057861328125,-4.321456418451005,545.3057861328125,-4.043700745902162,545.3057861328125,-2.4015239595193503,545.3057861328125,-2.6968507801065935,545.3057861328125,-2.8070077888318723,545.3057861328125,-3.792318352840153,545.3057861328125,-3.5738986187203805,545.3057861328125,-2.47964416133063,545.3057861328125,-2.601893386854617,545.3057861328125,-1.9211195667639172,545.3057861328125,-1.2695495464445175,545.3057861328125,-4.985001468481552,545.3057861328125,-6.491260370465439,545.3057861328125,-4.785020521774071,545.3057861328125,-5.985565098480442,545.3057861328125,-12.462743091665496,545.3057861328125,-5.801149710874637,545.3057861328125,-3.6177420828715157,545.3057861328125,-5.061999303006186,545.3057861328125,-3.345070006946247
1090.611572265625,0.5505760875455868,1090.611572265625,0.5429302631513839,1090.611572265625,1.4863132099807084,1090.611572265625,7.151220277835393,1090.611572265625,1.7012772819071447,1090.611572265625,10.355172645579755,1090.611572265625,-0.7508665521718532,1090.611572265625,-0.8217563423767895,1090.611572265625,0.14035465093866817,1090.611572265625,-1.243465733359704,1090.611572265625,-1.1580611535222167,1090.611572265625,-0.9237382385591577,1090.611572265625,0.022657803481801495,1090.611572265625,0.420358611660591,1090.611572265625,0.4876679260403213,1090.611572265625,-1.8781318104254796,1090.611572265625,-2.9304527716028135,1090.611572265625,-3.3587541292387963,1090.611572265625,-0.29801050777246507,1090.611572265625,-0.08017942826450648,1090.611572265625,-1.7580006813574858,1090.611572265625,-3.79727595189667,1090.611572265625,-4.3242195814008895,1090.611572265625,-4.048955752429804,1090.611572265625,-2.347547824468088,1090.611572265625,-2.707280860633212,1090.611572265625,-2.767151843776547,1090.611572265625,-3.8054228112639494,1090.611572265625,-3.5461272162377093,1090.611572265625,-2.480043691902568,1090.611572265625,-2.5137857433341027,1090.611572265625,-1.352044631636316,1090.611572265625,-1.1627658942678265,1090.611572265625,-4.977011926709249,1090.611572265625,-6.4815143932477595,1090.611572265625,-4.773492327131373,1090.611572265625,-5.987095124035446,1090.611572265625,-12.45141273711598,1090.611572265625,-5.798162207792604,1090.611572265625,-3.5973435546336003,1090.611572265625,-5.035620565578027,1090.611572265625,-3.3194891599745997
1635.9173583984375,1.1177606143021532,1635.9173583984375,0.9079012637109674,1635.9173583984375,2.106849961307045,1635.9173583984375,8.545923838329275,1635.9173583984375,2.853238348692622,1635.9173583984375,11.666869228265192,1635.9173583984375,-0.2139992622282193,1635.9173583984375,-0.48928075425112555,1635.9173583984375,0.7285880125662801,1635.9173583984375,-1.0684715523501187,1635.9173583984375,-0.9652555652800927,1635.9173583984375,-0.7437170456525851,1635.9173583984375,0.2838038473387527,1635.9173583984375,0.645508494197375,1635.9173583984375,0.7646435920379783,1635.9173583984375,-1.8573073348912685,1635.9173583984375,-2.859888180095893,1635.9173583984375,-3.3467836426096955,1635.9173583984375,-0.10093335790197047,1635.9173583984375,0.5042967541358404,1635.9173583984375,-1.5802645772928754,1635.9173583984375,-3.792549715400103,1635.9173583984375,-4.327085480397628,1635.9173583984375,-4.048441892189667,1635.9173583984375,-2.2419821442323444,1635.9173583984375,-2.673838837591522,1635.9173583984375,-2.6770310646113833,1635.9173583984375,-3.7834600120656714,1635.9173583984375,-3.461488450510591,1635.9173583984375,-2.4244278143055826,1635.9173583984375,-2.334430225082632,1635.9173583984375,-0.7822090057536519,1635.9173583984375,-0.9434938079132074,1635.9173583984375,-4.97917797772541,1635.9173583984375,-6.477220922740185,1635.9173583984375,-4.772395809660759,1635.9173583984375,-5.981272002886291,1635.9173583984375,-12.441877261898025,1635.9173583984375,-5.787388521766494,1635.9173583984375,-3.5609727414178454,1635.9173583984375,-4.9941476460192264,1635.9173583984375,-3.2856036158315525
