Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,14500
,
,
Time[s],Temperature
0.0,-47.726159723485665
545.3057861328125,-47.46880506421387
1090.611572265625,-47.2182462932486
1635.9173583984375,-47.08551771123013
2181.22314453125,-47.09271901156975
2726.5289306640625,-47.208599994509306
3271.834716796875,-47.375293175912034
3817.1405029296875,-47.55768278055564
4362.4462890625,-47.73446649999127
4907.7520751953125,-47.84231868300706
5453.0576171875,-47.7266804536208
