Type,Value,Type,Value,Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,2024,Element,3001,Element,7502
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,-50.56060677850862,0.0,-61.86551472029744,0.0,-4.081112572827496
545.3057861328125,-43.95918052488206,545.3057861328125,-61.45665062846445,545.3057861328125,-4.082468539284995
1090.611572265625,-43.40581072215874,1090.611572265625,-61.21409605613598,1090.611572265625,-4.083801449703524
1635.9173583984375,-48.58021704300663,1635.9173583984375,-61.24993521922557,1635.9173583984375,-4.085132911340674
2181.22314453125,-54.28458394159576,2181.22314453125,-61.450883184356925,2181.22314453125,-4.086450921461776
2726.5289306640625,-57.860467592191796,2726.5289306640625,-61.67225383720457,2726.5289306640625,-4.087848807951357
3271.834716796875,-60.1508236449,3271.834716796875,-61.88877087343425,3271.834716796875,-4.089395887934679
3817.1405029296875,-61.64182188905511,3817.1405029296875,-62.10196879501231,3817.1405029296875,-4.091068080600578
4362.4462890625,-62.46698234570487,4362.4462890625,-62.258569925824595,4362.4462890625,-4.092798845999323
4907.7520751953125,-58.77046186296914,4907.7520751953125,-62.210016677318286,4907.7520751953125,-4.094408893619938
5453.0576171875,-50.56113389267547,5453.0576171875,-61.86568424382876,5453.0576171875,-4.095853037575431
