Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,COM2
,
,
Time[s],Average Temperature
0.0,-37.366132306536954
545.3057861328125,-37.239153426372816
1090.611572265625,-37.16512255632413
1635.9173583984375,-36.503925578410836
2181.22314453125,-37.312937948470854
2726.5289306640625,-39.42198933579467
3271.834716796875,-41.103469586031
3817.1405029296875,-42.47795836646596
4362.4462890625,-40.591747950603455
4907.7520751953125,-38.47313212618915
5453.0576171875,-37.365984149411325
