Type,Value,Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,COOLER,Element,RDTR
,,,
,,,
Time[s],Average Temperature,Time[s],Average Temperature
0.0,72.54589967053538,0.0,-55.10290518928121
545.3057861328125,72.57180096515164,545.3057861328125,-54.7268672119553
1090.611572265625,72.57817481514398,1090.611572265625,-54.532144766577794
1635.9173583984375,72.56903751606933,1635.9173583984375,-54.61805134685443
2181.22314453125,72.56509367180331,2181.22314453125,-54.79327952616296
2726.5289306640625,72.55054886275245,2726.5289306640625,-55.0454194743738
3271.834716796875,72.53601478905655,3271.834716796875,-55.28981435787339
3817.1405029296875,72.52160133722529,3817.1405029296875,-55.528783813917066
4362.4462890625,72.51621919537986,4362.4462890625,-55.7210175925592
4907.7520751953125,72.52787010059286,4907.7520751953125,-55.579600358293256
5453.0576171875,72.55403221578143,5453.0576171875,-55.10169053067182
