Type,Value,Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01,Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,SP1,Element,SP2
,,,
,,,
Time[s],Average Temperature,Time[s],Average Temperature
0.0,19.801247806984414,0.0,16.148435386241353
545.3057861328125,26.11104203889714,545.3057861328125,22.13413212498728
1090.611572265625,26.98386380510482,1090.611572265625,23.262204446351408
1635.9173583984375,27.001532556485195,1635.9173583984375,23.693152164814347
2181.22314453125,13.667541669507687,2181.22314453125,11.27177927481754
2726.5289306640625,-1.6370244825144844,2726.5289306640625,-3.4187065281784084
3271.834716796875,-10.453468909628578,3271.834716796875,-11.92073195269993
3817.1405029296875,-16.5821414698297,3817.1405029296875,-17.85372029533803
4362.4462890625,-6.662306643417925,4362.4462890625,-8.397447605665459
4907.7520751953125,6.4973667332169285,4907.7520751953125,3.6766885375370597
5453.0576171875,19.80128583012591,5453.0576171875,16.148475250903928
