Type,Value
Data Source,acase01 : TMD : TCCT_SAT_ACASE01
Element,14500
,
,
Time[s],Temperature
0.0,-43.02813551079239
545.3057861328125,-42.72673304722044
1090.611572265625,-42.45919901404894
1635.9173583984375,-42.34007407896463
2181.22314453125,-42.36897716968847
2726.5289306640625,-42.514512277973154
3271.834716796875,-42.705979674771015
3817.1405029296875,-42.90829761997886
4362.4462890625,-43.09829847448093
4907.7520751953125,-43.194436975283814
5453.0576171875,-43.02501102701981
